sentPcktSize1,sentPcktSize2,sentPcktSize3,sentPcktSize4,sentPcktSize5,sentPcktSize6,sentPcktSize7,sentPcktSize8,sentPcktSize9,sentPcktSize10,rcvdPcktSize1,rcvdPcktSize2,rcvdPcktSize3,rcvdPcktSize4,rcvdPcktSize5,rcvdPcktSize6,rcvdPcktSize7,rcvdPcktSize8,rcvdPcktSize9,rcvdPcktSize10,label,sentInterPcktDelay1,sentInterPcktDelay2,sentInterPcktDelay3,sentInterPcktDelay4,sentInterPcktDelay5,sentInterPcktDelay6,sentInterPcktDelay7,sentInterPcktDelay8,sentInterPcktDelay9,rcvdInterPcktDelay1,rcvdInterPcktDelay2,rcvdInterPcktDelay3,rcvdInterPcktDelay4,rcvdInterPcktDelay5,rcvdInterPcktDelay6,rcvdInterPcktDelay7,rcvdInterPcktDelay8,rcvdInterPcktDelay9
52,52,52,52,52,52,52,52,52,52,206,462,398,142,936,616,206,366,398,590,nest-security-camera,0.03399991989135742,0.017999887466430664,0.016000032424926758,0.06599998474121094,0.01900005340576172,0.019999980926513672,0.06599998474121094,0.015000104904174803,0.018999814987182617,0.018999814987182617,0.01600027084350586,0.06499981880187987,0.01900005340576172,0.020999908447265625,0.06599974632263184,0.014000415802001951,0.018999814987182617,0.026000022888183597
158,52,158,52,158,52,0,0,0,0,121,121,121,0,0,0,0,0,0,0,smart-plug,0.021000146865844727,235.8470001220703,0.02199959754943848,235.90500020980838,0.029999971389770508,600.0,600.0,600.0,600.0,235.86899995803836,235.92699980735782,600.0,600.0,600.0,600.0,600.0,600.0,600.0
106,40,106,40,106,40,106,40,106,40,100,100,100,100,100,100,100,100,100,100,smart-bulb,0.05500006675720215,54.13100004196167,0.0970001220703125,54.056999683380134,0.07700014114379883,54.136000156402595,0.09999990463256836,54.07099986076355,0.06500005722045897,54.18700003623962,54.154000043869026,54.213000059127815,54.17099976539612,54.17900013923645,54.210999965667725,54.16100001335144,54.19600009918213,53.7099997997284
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,motion-sensor,4.68500018119812,5.013999938964844,5.014000177383423,5.012999773025513,5.013000011444092,5.014000177383423,5.011999845504762,5.013000249862671,5.014999866485597,4.67199969291687,5.01200008392334,5.016000032424927,5.011999845504762,5.01200008392334,5.016000270843506,5.011999607086182,5.012000322341919,5.016000032424927
206,834,494,430,254,398,206,398,856,478,52,52,52,52,52,52,52,52,52,52,nest-security-camera,0.009999990463256836,0.029999971389770508,0.0279998779296875,0.049000024795532234,0.01699995994567871,0.04299998283386231,0.02300024032592773,0.045999765396118164,0.019999980926513672,0.01100015640258789,0.029999971389770508,0.0279998779296875,0.04900026321411133,0.015999794006347656,0.043000221252441406,0.02299976348876953,0.04600000381469727,0.021000146865844727
158,52,158,52,158,52,0,0,0,0,121,121,121,0,0,0,0,0,0,0,smart-plug,0.02200031280517578,235.84799981117249,0.021000146865844727,235.85299968719482,0.019999980926513672,600.0,600.0,600.0,600.0,235.86999988555908,235.87400007247925,600.0,600.0,600.0,600.0,600.0,600.0,600.0
106,40,106,40,106,40,106,40,106,40,100,100,100,100,100,100,100,100,100,100,smart-bulb,0.127000093460083,54.06699991226196,0.10899996757507324,54.08500003814697,0.10599994659423828,54.08999991416931,0.043000221252441406,54.11500000953674,0.122999906539917,54.1949999332428,54.193000078201294,54.19599986076355,54.158000230789185,54.18399977684021,54.20900011062622,54.180999994277954,54.16600012779236,54.1879997253418
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,motion-sensor,1.329999923706055,5.011000156402588,5.0179998874664316,5.010999917984009,5.017000198364258,5.01099967956543,5.015000104904175,5.014000177383423,5.010999917984009,1.316999912261963,5.01200008392334,5.016000032424927,5.011999845504762,5.01200008392334,5.016000032424927,5.011999845504762,5.016000032424927,5.01200008392334
52,52,52,52,52,52,52,52,52,52,414,382,600,254,478,398,382,366,398,254,nest-security-camera,0.060000181198120124,0.02200007438659668,0.020999908447265625,0.06500005722045897,0.017999887466430664,0.01900005340576172,0.023000001907348636,0.02500009536743164,0.05099964141845703,0.020999908447265625,0.020999908447265625,0.06599998474121094,0.017000198364257812,0.019999980926513672,0.023000001907348636,0.02499985694885254,0.051000118255615234,0.01699972152709961
158,52,158,52,158,52,0,0,0,0,121,121,121,0,0,0,0,0,0,0,smart-plug,0.020999908447265625,235.85400009155273,0.020999908447265625,235.84800004959104,0.020999908447265625,600.0,600.0,600.0,600.0,235.875,235.86800026893616,600.0,600.0,600.0,600.0,600.0,600.0,600.0
